date,rating,userlocation,restaurant,comment
2015-03-07,2.0,"Durham, NC",Abyssinia Ethiopian Restaurant,"I love Ethiopian food. But this particular restaurant did not meet my expectations. We ordered the Doro Wat (chicken) and the goat curry. Firstly, the quantity is less for the price for each entree. The goat curry did not have much flavor. The Doro Wat was just OK. The ambiance is really shady (poor lighting, bad interior). I normally wont care for the ambiance if the food is great. I read a lot of positive reviews here and decided to try this place. Unfortunately, it did not work for me."
2015-03-07,2.0,"Raleigh, NC",ORO Restaurant & Lounge,"If Sweden had a K&W Cafeteria it would be ORO, Oro for gold and the Mac & Cheese is golden! It was one of the best I've ever had. The portion was tiny (Unlike the one at Taste and Humble Pie) but it was great. The Spring Rolls were good, as was the Flat Bread with cheese and so forth. Yes, we know the portions here were Tapa size as the waitress explained but Tapas in Spain are usually quite filling at ORO they were not. Well, they are if you order 3 or 4  and share. Thank god I wasn't hungry otherwise I would've swiped someone's meat ball. The place got crowded fast and the clientele does not look the same as they did when ORO first opened, it was like an airport. I like that you can order 2 oz of wine. The sweets were very good, Creme Bru-haha and a bananarama pudding very tasty. ORO isn't one of those places I'm dying to return to, it was good but with so many choices you can experience this place once and that is enough."
2015-03-07,5.0,"Lakeland, FL",Saint Jacques,"Holy mother of God this place is amazing. I am trying to figure out another excuse to go back to Raleigh after my business trip this week.The servers are gracious, the food is SPECTACULAR, the ambiance is surprisingly quaint and romantic for a strip-mall French place.. :) Go here, post-haste, and get yourself some Coquille St-Jacques, stat."
2015-03-08,5.0,"Raleigh, NC",Casa Carbone Ristorante Italiano,"I don't usually take the time to write reviews, but this experience was so bad, I couldn't help myself.  I've been here before and repeated the visit only because my boyfriend likes it.  He doesn't know any better having never been to Italy where there is no such thing as bad food.  This time I ordered the linguine and clams and was so disappointed to see my noodles swimming in a pool of oil; to the extent that I could not eat without it splattering all over my clothes.  The dish reaked of garlic (don't get me wrong, I love garlic) so I decided to pretend I wasn't hungry for the rest and took it home.  My teenage son will eat just about anything.  My waiter although very courteous and attentive came across as so fake and practiced that it just felt ingenuine.  Lastly, I have to mention that the restaurant decor is so dated, I don't understand how do they dare charge the steep prices AND get away with it. I don't mean to throw cheap shots, I can tell the staff is working hard, this review is meant for insightful and hopefully constructive criticism.  It's  time the owners recognize that no matter how well you are doing, there's always room for improvement.  Switch out those tacky flower table cloths and replace with white. Spray paint the cheap looking oak picture frames.  I could go on and on.  I think you get the point."
2015-03-09,5.0,"Durham, NC",Wade Park Cafe,"If you go in with proper expectations this is definitely a five star place. It is your typical neighborhood cafe, but it's in an office park. I've never had anything bad there. The portions are very good."
2015-03-09,5.0,"Raleigh, NC",Cameron Bar and Grill,"After three visits to Cameron Bar and Grill, I can say it's a solid 4 stars.  Service has always been quick, personable, and efficient.  Food has been great.  I'm a tad picky when it comes to my burgers, but the one I had the other day was in my top 10 eaten.  The kids meal mac and cheese was AWESOME (yeah, I eat my child's meals sometimes to taste test).  On days when it's not too humid and not too cold the outdoor seating is wonderful.  Give this place a try if you've never been."
2015-03-09,5.0,"Raleigh, NC",Thai House,The pad Thai is so delicious! Especially 3 star spicy. Really adds a kick! It establishment is really nice on the inside and the service is always prompt.
2015-03-09,4.0,"Raleigh, NC",O’Malley’s Pub & Restaurant,"Omailys is a great hidden gem. It's located right off of Glenwood ave in a small strip.  The owners are very accommodating and ensure their food is top notch. I've been here numerous times and can't resist ordering the Irish dip every time.  I'm sure the rest of their menu is delicious, but I'm a creature of habit!  I recommend Omailys to anyone wanting a nice place to grab a cold drink and some good food."
2015-03-10,5.0,"Hillsborough, NC",Los Cuates,"My 4 stars for Los Cuates is based primarily on their Carne Asada Fries, which should illustrate how good these fries are.I first tried the concept of Carne Asada Fries at Alberto's in Southern California and was taken away by such a simple, munchies food. Ever since, I've had perpetual cravings for this late night snack but have been unable to satisfy this need.Enter: Los Cuates. This place is hidden in the North Market shopping area, and provides a simple, clean environment with super legit Mexican/Latin American dishes. Although I only had the Carne Asada Fries, I could immediately tell from the menu that this place was the real deal.The fries were incredible, as I made sure to do it SoCal style by adding guacamole, sour cream, and hot sauce. You NEED to try them. For good measure I also had their horchata and caramel filled churros! The horchata was fairly good and the churros were cooked fresh and were delicious. I'm very pleased with Los Cuates and am looking forward to eating here again to try their other dishes, with the hopes of adding one more star to my review."
2015-03-10,4.0,"Raleigh, NC",Casa Carbone Ristorante Italiano,"My favorite as well as my family's favorite. Great consistent quality with homemade dishes. By far excellent prices. Family run business.  We have been eating there for years as well as their other family's previous place "" Villa Capri"" from way back. Love this place."
2015-03-10,5.0,"Raleigh, NC",Poppyseed Market,"Poppyseed Market is ruining my waistline but oohh so good. My number one lunch place, every week.  Menu has numerous choices from sandwiches (hot and cold) subs, pizzas, salads, soups and stews.  The have a refridgerated cabinet up front with goodies like Butternut Lasagna, salads & dinner entrees. Their daily specials are really hard to resist - very unusual combinations of flavors, meats and veggies.   Soups are fabulous!  Very very generous on portions.  My lunch usually lasts 2 days.Well worth the cost.  Try it  - you won't be sorry.  She knows what she is doing."
2015-03-10,5.0,"Holly Springs, NC",Cameron Bar and Grill,"My daughter and I stumbled upon this restaurant by accident because she was participating in a competition at Broughton HS. It was an amazing experience! Our server, Austin, was very knowledgable about the food and the beer selection and he was also very attentive. I had the jambalaya and it was the best jambalaya I have had in a restaurant. My daughter had the chicken fingers and waffle fries. The fries were extremely crisp and delicious! We will definitely come back again when we are in this part of town."
2015-03-10,5.0,"Raleigh, NC",Cristo’s NY Style Pizza,"Went there for pizza a while back, and the slice came somewhat close to what I am used to in my hometown (NYC). A nice array of toppings to select from, in addition to the menu items that one would see at a nice Italian restaurant."
2015-03-10,5.0,"Raleigh, NC",Tenko Japan,Great in and out Japanese food!- consistent quality- fair price- excellent customer service
2015-03-11,4.0,"Raleigh, NC",Mami Nora’s,"Ok. I've tried this place twice now so I feel like my review is pretty accurate. This spot does chicken well. It's the closet thing I can find to my beloved pollo tropical in Miami. The chicken here is very moist and flavored well. There's a smokiness that is unmatched in ur average rotisserie chicken. Every bite is an explosion of flavor. The rice and beans have great flavor and are not over cooked. You will get one tiny sauce per order. Additional sauces are 25 cents. The green is jalapeño based and the yellow is a mayo/mustard combo. Both compliment your meal exceptionally well. If you do not purchase an inca cola you are missing out. It is literally liquid bubblegum. Just off the free way, mami noras is in a convenient location and worth the trip !"
2015-03-11,3.0,"Raleigh, NC",Randy’s Pizza,"Amazing pizza!!!!  We've tried several of their specialty pizzas and all have been amazing.  We have always done delivery and they're fast and the pizza is always super hot when the pizza gets here.  We had just one time where the pizza was missing a topping (a new person had made it and there's always a learning curve at any new job) so I called just to let the store know- twenty minutes later there was a knock on our door and a hot, fresh, correctly made pizza which was super awesome!!!  Great and friendly staff.  Seriously best pizza I've come across so far in this town!"
2015-03-11,4.0,"Raleigh, NC",Despina’s Cafe,"In town for a bit and wanted a good cup of coffee very close to where I'm staying. Chose Despina's based on positive Yelp reviews and thankful I did... Cute & cozy little Greek cafe in a strip mall. Unassuming, welcoming and surprisingly clean and new. Free wifi. Came for the coffee....Stayed to enjoy a Greek Frappé (chilled coffee), Italian soup and the best ever panini (caprese w/ balsamic chicken & basil)!! The beautiful cakes and variety of baked goods are lovely..! All made each morning by a smiling little old Greek lady - Despina! Her family (grown children were working and were extremely friendly, eager to please and offer suggestions. Don't have much of a sweet tooth, but I left w/ several slices of cake as surprises for my family!!"
2015-03-11,3.0,"Morrisville, NC",ORO Restaurant & Lounge,"We headed to this place on a Sunday evening, after hearing some great things from friends. To begin with, the ambience was really cool. It reminded me of restaurants in New York and I was getting excited about this dinner. Though I didn't get to try them, their cocktails selection seemed good. We ordered four entrees....rock shrimp tempura, seared scallops, jerk chicken flatbread and fish tacos. I tasted the scallops & it was amazing. I loved the sides they gave with it & drizzle of olive oil was so good. From there onwards, everything else went down hill. The flatbread was okay and I felt it was overcooked. I was hoping to have coconut shrimp kind of thing, but I didn't get a hint of coconut taste. It seemed like the chef didn't know how to do tempura. It was clearly spoilt. Fish tacos...again bad tempura & poorly done compliments.At the end of the meal, we were hungry & were too scared to try desserts & spoil our appetite further. Their service should either be more consistent or need to be improved soon."
2015-03-11,5.0,"Raleigh, NC",Despina’s Cafe,Only reason I didn't give 5 stars is because I we just had salads. But they were fresh and the Chicken Salad was excellent. Very Good.
2015-03-11,4.0,"Wake Forest, NC",NOFO At the Pig,"Came here with a group of girls for lunch, 13 of us. Food was fast and excellent. Mojito was delicious with plenty of fresh mint but at 9$ and very small glass, will pass on that next time. Store has a lot of unique gift ideas with a  hefty price tag. Great for window shopping but hard on the wallet. Lunch prices were reasonable for what u get. We will return."
2015-03-12,4.0,"Suffolk, VA",Abyssinia Ethiopian Restaurant,"I've been to a ton of Ethiopian restaurants across the country- Very disappointed in the lack of flavor of the beef tibs. The injera is great, staff is friendly.  Not impressed by the atmosphere. They do not carry tej. Small portions."
2015-03-13,4.0,"Wilmington, NC",MoJoe’s Burger Joint,"Great atmosphere. Outside dining and inside gastropub vibe.I ordered the Classic Mo' and put about 7 toppings on it. It was delicious but came out to $10! Those toppings add up.The $4 24-ounce PBR coulda been $3.Overall, I would definitely come back! Very friendly service!"
2015-03-14,3.0,"Raleigh, NC",Tenko Japan,"Let's be real, Japanese express is never as good as the real thing..but Tenko Japan is pretty close! It's definitely the best I've had in Raleigh. The prices are great, they're fast, and their white sauce is delicious. I just bought a house close by and I've already been twice. Hibachi chicken is my favorite so far. It's kind of my guilty pleasure."
2015-03-14,5.0,"Raleigh, NC",Kadhai The Indian Wok,"Craving something different for dinner, we settled on Indian food and were pleasantly surprised to find a restaurant close to home. Seeing all the good reviews on Yelp, we decided to give Kadhai a try and we were not disappointed. For two, we had vegetable samosas, naan, butter chicken, baingan bharta, rice and mango lassi. We ate till we were stuffed, but we didn't even make a dent in the dishes. We had enough left over to make two takeout boxes -- each with rice, chicken and eggplant. I know what's for lunch tomorrow! Service was pleasant and attentive enough but not intrusive. My water was regularly refilled. We came for dinner around 7:30 on a Saturday,  and the dining room was pretty quiet with only two tables seated. You can hear each table's conversation but that didn't seem to make anyone feel self conscious at all. The prices may seem high but we're essentially getting two meals. So yeah. Writing this review is making me hungry again."
2015-03-15,3.0,"Raleigh, NC",Red Pepper Asian,"Sunday night and Husband actually uttered the words that he was hankering for Asian (not a common occurrence)...so I went with it, fast!  Searched ""best Asian"" here and was drawn right into reviews and pics from this place.  Off we went, unsure of where exactly.  Let me clarify:It's at the corner of New Hope and New Bern Avenue.  From the Beltline (New Bern Ave exit), it's less than a mile heading away from town, on the left in a strip center that has Carly C's and Hamrick's.  It is indeed small and when we arrived around 5:30 we got one of the last two open two-tops.  And there were people waiting for take-outs.  The whole time we were there, people were coming in for take-outs.  (understandably so!)No alcohol options.  Get over it.  I had to.  Unsweetened tea for me.  Diet Pepsi for Husband. Menu is full of pics that are quite helpful and drool-worthy. So is their website! TIP: the ""traditional"" menu that others have spoken about was not on the back of both our menus.  It does exist...Husband had it, and I was thrilled to find what I had seen Ron W post a pic of:  Malay Sambal Shrimp.  Husband opted for Hunan Beef.   We both wanted to try the Spring Rolls...one for me, two for Husband. Spring Rolls were served after several minutes, piping hot, with clean squeeze bottles of spicy mustard and sweet sauce.  Menu mentioned ground beef in them, but there wasn't any spotted. Didn't matter as the veggies were good and the wrapper was crisp.Entrees  arrived shortly after we finished the rolls and were as yummy-looking as they tasted. (see pics)  Both were served with bowls of rice.  Shrimp dish had red bell peppers, onions, lots of string beans and good-size plentiful perfectly cooked shrimp.  Very slight spicy kick. Husband was quite happy with his beef dish that was full of mushrooms, which he loved.  Also had broccoli and carrots. I traded a shrimp for a floret and it was a fair trade. Prices...very reasonable for the quality, quantity and expertise!  My shrimp dish was $12.95.  Husband's beef dish just $9.95.  Spring rolls $1.25 each and drinks $1.75 each.  A little over $30 before tip.  So worth every penny!Service just right, and even the fortune cookies were crisp and tasty.I will add that everything else we saw come out of the kitchen looked incredible, and everyone dining seemed quite happy.  And yes, you have to ask for chopsticks if you want them.  Loved that they don't waste them needlessly."
2015-03-15,5.0,"Clayton, NC",Saint Jacques,"My husband and I had dinner here on a Friday night, two weeks ago.  It was EXCELLENT.  We had the goat cheese gratine, PEI mussels du jour, chicken cordon bleu, filet mignon, and then dessert.  Everything was perfect - the right mix of flavors, temperature, presentation.  I did not find the food to be too rich for me, which sometimes happens to me at French restaurants.  The service was very good - polished and exact, while still being friendly and not stuffy.  Good wine list.Nice ambiance, considering the location is in a strip mall."
2015-03-16,2.0,"Raleigh, NC",The Point at Glenwood,"First time here and we probably should have tried the pizza as this appeared to be the most popular choice among diners. We did notice two gentleman that came in and immediately ordered the pork chops that looked great. We ended up having tasty cucumber gin cocktails since they were out of the blue cheese stuffed olives featured in one of their special Martini's, the appetizer sampler and it was good - duck wings Interesting. We shared the pick 2 wood-fired scallops and oysters and they were good, we just weren't overwhelmed overall. Lettuce wedge was just okay as well. Glad we tried it, but next time we will try the pizza."
2015-03-16,5.0,"Fuquay Varina, NC",Bida Manda,"Bida Manda, you have won me over.  My husband and I came Saturday for my birthday dinner which was super exciting because this has been bookmarked for a year as one of my top spots to check out.  We arrived at 7:30 for our reservation (which is a must - this place was packed from the minute we came in until the minute we left) and were seated immediately.  Our waiter arrived shortly after we were seated to bring water and take our drink orders.  I had the pear cocktail (I can't think of the name) which I thought was delicious.  Not too boozy, not too sweet - the perfect balance of alcohol and house made pear syrup, quite refreshing!  My husband and I settled on the crispy rice wraps as an appetizer and enjoyed sipping our drinks and the shrimp chips that were brought out prior to the appetizer.Onto the food - first, the shrimp chips were amazing.  Cilantro on top which set off the crunch and flavor nicely.  The lettuce wraps were amazing, I could've just eaten the filling alone with the peanut sauce, that's how amazing they tasted.  The lettuce gave a nice crunch and of course held the filling together well.  DEFINITELY need to try these if you're at Bida.  I ordered the beef larb as my entree which was also amazing.  The sticky rice, beef, and skewered veggies were so perfect together.  The portion was great - not huge, but with the shrimp chips and appetizer, I had to bring about 1/3 of my dinner home.  During dinner, I ordered a thai tea which was amazing and with the homemade coconut milk, was probably the best thai tea I've ever had.Overall summary:*ease of scoring a reservation prior to 9pm - tricky.  Plan ahead.*service - excellent.  Casey was an amazing server who took care of us and gave perfect recommendations.*ambiance - romantic, hip, somewhere between casual and dressy, but not snooty*food - YES.  Just yes.  Bursting with flavor, fresh ingredients, very well executed*drinks - they don't skimp on the alcohol, so be prepared.  Not overly boozy, but not primarily syrup either.  Unique cocktails that are delicious.*will we return? absolutely!"
2015-03-17,4.0,"Broadway, NC",Taza Grill,"Oh My Yum!  Went for a plate of delicious Mediterranean food and left nearly a native Lebanese! This was so good... I had the Labanon Sampler and had originally asked for lamb instead of chicken kabob but got chicken by mistake.  I could have asked them to fix it but it looked really Yum and was. No big deal. The grape leaves on the side were soft and flavorful and the everything on the plate complemented each other.  Not only will I be back, I will be back often.  Thanks ""boss!"" (You will know what that means when you go)..."
2015-03-17,5.0,"Burnaby, Canada",Tacos Y Mariscos Vallarta,"The food looks good, smells good, and tastes good. The service is great. Excellent first visit."
2015-03-17,5.0,"Fuquay Varina, NC",Abyssinia Ethiopian Restaurant,"Great restaurant but a little hard to find. Abyssinia is tucked in a strip mall off Avent Ferry Road in Raleigh, Food is typical Ethiopian with plenty of flavor and served communal style. When they bring out the food, it doesn't look like a lot but with the Injera bread as a food delivery mechanism, you get stuffed quickly. The restaurant is decorated simply and it works (I have been in very ornate Ethiopian restaurants and you pay for the ambiance). Check out Abysinnia, you will enjoy it!"
2015-03-18,2.0,"Raleigh, NC",Kadhai The Indian Wok,Excellent food. Excellent service. Nuff said!
2015-03-18,2.0,"Cary, NC",NOFO At the Pig,"The evening at NOFO was a joy.  Our waitress was Dani L. and she was very gracious with our questions and our getting too busy chatting to review the menu.  She knew the menu and specials thoroughly and shared some of the history of the Piggly Wiggly and the earlier NOFU restaurants.For dinner we went with the trout and the pork chop, with red wine, and a mule to start.  All really good.  The pork chop plate came recommended by Dani and it was truly excellent.  Large-cut with bone-in, properly cooked this side of pink, served with greens and macaroni and cheese.  The mac and cheese incorporated 3 or 4 cheeses and came out ramekin-shaped, as its own little delectable tower crumbling apart.  The (kale?) greens appeared cooked to death, but they were actually just the perfect consistency, with the right amount of vinegar bite and of sweetness so that nothing else was needed.  I kept stealing the greens from my wife.  The trout was lightly cooked and still juicy and delivered atop grit cake with vegetables.  Every portion of the plate had its own excellent and unique taste, perfectly blending to the taste without combining into one single flavor.  The vegetables (onions?) came on flavorful and savory and finished with a little bit of enjoyable heat.The evening at NOFO was a joy.  We had actually started with reservations for the PieBird Cafe, since it was Pi Day (3.14.15!), but they were out of most food and just not ready for business.  Early St. Patrick's Day activities in downtown may have overwhelmed them, because they were just overwhelmed.  We had been to NOFU once before, they verified they could seat us, and so off we had gone.NOFO was a joy and we will think of them first next time.  Even if we did sneak out for dessert at the Hayes Barton Cafe ""next door"".   :-)"
2015-03-19,5.0,"Raleigh, NC",Bida Manda,"Love it! Keeping with the other reviews here - Bida is great! As the reviews show, everyone else agrees with me so you definitely need a reservation several days out. I booked a Friday night reservation over a week in advance and they only had 9pm available!My wife and I came here for the first time on her birthday. This was also the night of the St. Patrick's Day parade ON THE SAME STREET! For that reason, parking and wading through all the drunks took awhile but once inside, it was peaceful and nice. As I said above, our reservation was for 9pm and I called every day to see if someone canceled an earlier reservation. Finally, the day of, we got a 730pm spot!Wait staff was attentive and super friendly. We took our time ordering and really enjoyed it.Drinks - best way to kick off dinner! I had the Marlon - it's pretty manly! They make strong drinks here so if you're ready for some hair on your chest, this is it. I'm a beer lover so I also had the Brewer's Old Fashioned and it was ok. Also will put hair on your chest!Appetizer - Had the crispy rice lettuce wrap at the recommendation of the waiter and it was glorious! Absolutely recommend!Entree - Settled on the Basil Stir Fry. It was good but by the end I was sweating. I'm ok with a little heat but this escalated quickly. Wife had the beef larb which was really good. If I came back I'd get that or the Pad Thai.Overall, definitely would come back again, just try something different. It earned 5 stars because the environment and staff more than made up for the couple of things I'd change about my order."
2015-03-20,4.0,"Raleigh, NC",Donatos Raleigh,"Disclaimer: I'm not a pizza aficionado. I know what I like: a thin crust. And I know that most thin crust pizza is crunchy... almost like a cracker crust. Which was always fine with me, until I had Donato's.Donato's thin crust is both thin and SOFT. It's kind of mind-blowing. Toppings, sauce and cheese were all to my liking. And they delivered in 15 minutes... super-fast, don't know if that is the norm, but wow!"
2015-03-20,5.0,"Carlsbad, CA",Thai House,Popped in fi lunch today and the experience was off the charts. The chef came out to the table after overhearing our discussion of Thai Basil or Red Curry Noodle Soup. She recommended the Red Curry and it was excellent. Crisp flavor with a hint of lime and nice heat.The entire staff was personable and helpful. I'll be back!!
2015-03-21,5.0,"Raleigh, NC",Manhattan Cafe,"Manhattan Cafe is one of the best go to places for a sandwich downtown.  Wanted a non meat option and asked for suggestions and was so happy I ordered the vegetarian flatbread sandwich.   My husband ordered the steak sandwich and he was very pleased as well.   French fries were fresh, hot and delicious.  The new owners have done a great job with the menu and the salad bar is a great idea.  The traffic they were getting speaks for itself.   Believe they are a hidden gem in downtown but it won't take long.  The staff is super friendly and very accommodating.   Thanks to  Mic for his recommendation!   We will be back for sure!"
2015-03-21,5.0,"Rolesville, NC",Poppyseed Market,"A great place for lunch. The food is fresh and delicious. It gets busy at lunchtime but the service is quick and efficient.If you like to eat at ""mom and pop"" shops and stay away from the chains, I recommend this restaurant."
2015-03-21,3.0,"Greensboro, NC",Assaggio’s,"The food is excellent.  I was on my way to Olive Garden and decided to stop here since I have my clothes dry cleaned next door. The waiter is nice and very  attentive. My food came out fast and delicious. The portions are great and similar to what Olive Garden has. Pricing is the same as well. Overall I am impressed if you are in the area and starving for Italian, then Assagios is the place. #SupportLocalRestaurants"
2015-03-22,5.0,"Raleigh, NC",Randy’s Pizza,"Truly a hit or miss and quite frankly, I don't know if it's worth the gamble.I've been coming here religiously after discovering their super thin-crust/rich in flavor pizzas but I think that's everything I can rave about for this place.Service can be pretty pitiful when there is a crowd.Not so friendly workers and a 40 minute wait for 6 measly wings?Yeah we ordered everything at once and my pizza/garlic knot combo came out in a timely manner but not the rest of our order.We FINISHED our pizza and had to WAIT for the rest of our order. Thankfully, we shared the first combo or else it would've been real awkward- each of us taking turns to watch the other eat...Does it really take 40 minutes to cook 6 mini wings? This place is no fancy dine in- it's a quick fast food spot.So yeah, I was not happy eating wings that took forever and tasted like ones I could buy pre-cooked at a grocery store and warm up myself.Oh and the garlic knots were lukewarm on the outside and cold on the inside. Bonus, they were rocks.....At least their fries and pizza are consistently good.Also, whenever we asked the workers about the rest of our menu, they replied as if we were in the wrong.Overall, I have learned the hard way that they can't handle crowds. They can try but it'll result in grumpy workers and unbelievably long waits."
2015-03-22,4.0,"Raleigh, NC",O’Malley’s Pub & Restaurant,"I have driven by O'Malley's for years and thought ""I need to stop there"" - but never did. My sister and I decided to try it for lunch today. Wow! I think that's the best Reuben I've ever put in my mouth!  The homemade chips weren't bad either!O'Malley's doesn't necessarily have curb appeal ( it's in a strip with several nondescript places ) but it's got lots of charm and my first experience was great. Will definitely go back!"
2015-03-22,5.0,"Raleigh, NC",Mo-Te Vietnamese Restaurant,Coffee toffee bubble tea was delicious! They have a wide variety of bubble teas. I did not try anything else on the menu.
2015-03-22,4.0,"Raleigh, NC",Mo-Te Vietnamese Restaurant,"Wide variety of bubble tea, it doesn't disappoint.  Didn't try anything other than bubble tea, but I'll be back."
2015-03-23,4.0,"Holly Springs, NC",Wade Park Cafe,"Fantastic place to grab a sandwich.  The chicken noodle/rice soup was to die for.  They offer fruit as a side option for no additional cost, and it is so fresh and delicious.  Can't wait to go back."
2015-03-23,5.0,"Raleigh, NC",Taza Grill,"I've been going to Taza for a VERY long time. It is one of my family's favorite places to get a quick bite and we know that we're going to get great food and excellent service every time. First of all, the people who work at Taza are THE BEST. They always greet the customers as ""Boss"" and they remember our orders no matter how long it has been since we were last there. The food is always made to order and comes out quickly. When I was younger and before I broadened my food horizons, I ordered the steak and cheese combo which was good, but now I order the Gyro combo which is even better. They don't ever skimp on the meat or the toppings and there is lots of flavor. The combos come with fries that are cooked to order with the rest of your food so they are piping hot. The fries aren't anything special, but you should definitely add their fries seasoning that they have out by the register for a flavor boost. We often come to Taza just to get delicious pita bread to go, which we use to make so many other dishes at home. These pitas are way better than you would find in your typical grocery store and can really transform a meal.As for the price, I think it is a good deal for the amount of food you get with the gyros and sandwiches.  It is not any more expensive than your typical sandwich lunch spot (it might be even a little cheaper) and I always leave full and happy. The location may not look like much in terms of décor or seating, but the service and food make up for it."
2015-03-23,5.0,"Wake Forest, NC",Alpaca Peruvian Charcoal Chicken,"I got the 1/4 White chicken with the soup and plantains for sides.  Chicken was juicy and the plantains were excellent.  Soup was very average and a little bland.  The decor is terrible.  There's nothin there that ways, ""hey, you're in a Peruvian restaurant."
2015-03-23,5.0,"Raleigh, NC",The Rockford,Great atmosphere and food! Fish tacos are awesome. Fresh and full of flavor. Well worth the trip downtown.
2015-03-24,4.0,"Raleigh, NC",The Borough,"After reading Michaella K's review, I felt the need to interject. I do not have friends there, and I have to say this is one of the best places downtown, and definitely one of the best places for late night quality food. The staff is very attentive, friendly, and the food is on point all 4 times I've been there. Maybe that lady needs to stick to Applebee's or whatever the hell she's into, because her review of this place made her sound like a dumbass. Keep up the great work."
2015-03-24,4.0,"Raleigh, NC",Moonlight Pizza Company,"Pretty good place - came on a date with a Groupon and got calzones (which were more than enough). Food was piping hot, and the cheese and sauce were perfect. Service was pretty good. The vibe and decor though were special, especially the cool ceiling lighting with the little globes. Hope to be back to try more, Groupon or not!"
2015-03-24,5.0,"Raleigh, NC",The Flying Biscuit Café,"Needed to grab a quick weekday brunch. My waitress (Tracie) was the best - super sharp, fun, and snappy, originally from NY (like me!).  I usually get the Southern Breakfast Bowl here but when she mentioned the pork belly sandwich with an egg over easy... no-brainer.  This was the best possible decision; that sandwich could not have been a fresher, tastier, more satisfying experience (although I did throw in a bit of Cholula to mix it up a bit).  I ordered grits but I couldn't eat them - I was too full.That said, I could get full just off of the buttery, flaky biscuits that they bring out to you first, with a side of delicious apple butter.OH and they have fresh squeezed orange juice, which is essential to any satisfying breakfast or brunch experience."
2015-03-25,5.0,"Raleigh, NC",Brookside Market & Deli,"This place is great for takeout and very reasonably priced. So far I've tried a couple of their sandwiches and desserts. Everything has been GREAT. The chicken panini is amazing and huge and I will be ordering it regularly. Have yet to try the pizza but it's next!The market with groceries is pretty overpriced, but since it's less than a half mile from my house, it's very convenient when I don't want to make a trip to the store. They also have a good selection of beer!"
2015-03-25,4.0,"Raleigh, NC",Saltwater Seafood & Fry Shack,"Best fresh seafood in Raleigh, and the Fry shack is great love the board specials."
2015-03-25,5.0,"Los Gatos, CA",Poppyseed Market,"My husband and I just moved to Raleigh and we enjoy eating out. Poppyseed Market was recommended by several of our local friends. We went there for dinner tonight. We had a server, Emilie, who was so personable, knowledgable about the menu and went out of her way to give us exceptional customer service. We had the crab cakes, spaghetti and meatballs and fish tacos. Everything was delicious and there was a great selection of wine. the lighting in the restaurant and the decor gives the restaurant a great comfortable feel for date night or just for catching some dinner with friends. We will be back!"
2015-03-25,2.0,"Raleigh, NC",Tijuana Flats,The reason for the five star review I'm giving is Hailey. She rocks and knows her stuff. Also everyone on staff while I was there was very helpful. And besides people like having the door held open for them.  I would visit this location again because of Hailey.
2015-03-26,5.0,"Wake Forest, NC",Saint Jacques,One of the best meals we have had in the triangle with amazing service. The wait staff was attentive and very friendly. The food was perfect.
2015-03-26,5.0,"Raleigh, NC",The Cowfish Sushi Burger Bar,"Almost 2 years.  That's how long it has taken me to get Husband back here for our second visit.  Not that our first was bad.  Just that I liked it more, and any time we attempted to go back, it was way too long of a wait to get in.Secret to get in: get there before everyone else does...so go early!   (as we did on this Thursday around 5:30)  They have indoor and outdoor seating.  We were given al fresco (which is covered) and a charming efficient Server.  I enjoyed a smokey Malbec, while Husband did a Bad Penny draft.  Previously Husband had liked a Bleu Cheese Burger okay, so this time he tried the Boursin Bacon one with shoestring fries.  Having done a Bento Box the first time (and very much liked it), I wanted to try something I would never attempt to make myself:  The Taste Explosion Roll.  If you get this very cool sushi/burger fusion, do not ignore the fresh ginger!  I soon learned that the spicy fresh flavor of that ginger made this roll indeed explode!  Until then it was quite good, but needed something to take it over the top.  The ginger did that.  Meanwhile, Husband was again just okay with his burger.  Felt the boursin got to be too much after awhile. Said he ""just hadn't found the right burger there yet""...sigh...hope it doesn't take me another 2 years to get Husband back!"
2015-03-27,4.0,"Raleigh, NC",Piola,Visited this place through a happy hour/networking event. The pizza is delicious but the ravioli is extremely tasty. The wine selection is great and they have my favorite wine (malbecs). Great place to dine!
2015-03-27,5.0,"Brooklyn, NY",Bida Manda,"BEST Raleigh restaurantWhite people spicy? NO!Lao food like Thai foodVery fantastic food and amazing bar service. The bartender who doubled as our waitress was one of the best waitresses I've come across at a place that is by no means Michelin rated. (Although it totally should be just considering the food.)Get the coconut curry chicken wings, the pork belly noodles, and the sweet purple sticky rice with coconut milk. Wow everything was so flavorful and absolutely amazing. They were booked solid the entire weekend and we were only able to get in because we sat at the bar."
2015-03-28,5.0,"Raleigh, NC",Despina’s Cafe,The almond cake is amazing taste all organic. The coffe is smooth and doesn't have that burnt taste like starbucks over all i enjoy it. Would probably go back to try out more of these wonderful cakes!
2015-03-28,5.0,"Raleigh, NC",O’Malley’s Pub & Restaurant,"LOVE this place for breakfast. I usually just order whatever special they have, omelette with hash browns and coffee. Could someone buy me a shirt? Service is great, atmosphere is great. Just don't come here if you're in a hurry."
